hearing_id,case_id,hearing_date,hearing_time,courtroom_number,hearing_type,status,notes,next_hearing_date,scheduled_by_admin_id,created_at
11,11,2026-06-06,0 days 10:09:00,Courtroom-E-3,Verdict,Scheduled,Thousand candidate sing keep. Outside interview once international through space contain.,2026-06-30,5,2026-05-14 00:31:19
12,12,2026-04-29,0 days 10:48:00,Courtroom-D-10,Follow-up,Completed,Product without plant customer.,,5,2026-05-14 00:31:19
13,13,2026-03-03,0 days 15:13:00,Courtroom-A-5,Verdict,Completed,Such approach very seat. Fall particularly game simply weight space assume including.,,2,2026-05-14 00:31:19
14,14,2026-06-06,0 days 14:16:00,Courtroom-D-3,Follow-up,Scheduled,Democratic send movement despite close industry maintain. Traditional police Congress create hand me air daughter. Myself know responsibility record people spring. Return list notice major avoid usually after school.,2026-06-26,2,2026-05-14 00:31:19
15,15,2026-03-01,0 days 11:07:00,Courtroom-C-4,Verdict,Completed,Garden not these start throw wall enjoy.,,4,2026-05-14 00:31:19
16,16,2026-06-03,0 days 10:56:00,Courtroom-E-4,Verdict,Scheduled,Management style treatment strategy specific play expert. Eat rest civil free add similar ball.,2026-07-01,2,2026-05-14 00:31:19
17,17,2026-04-30,0 days 11:28:00,Courtroom-D-10,Initial,Completed,Sound too end career I. Meeting official book television instead.,,3,2026-05-14 00:31:19
18,18,2026-05-23,0 days 14:40:00,Courtroom-F-7,Evidence,Scheduled,Live carry finish deep low official probably.,2026-06-30,5,2026-05-14 00:31:19
19,19,2026-01-06,0 days 10:20:00,Courtroom-D-2,Verdict,Completed,Real price always professor send computer. State public particular series maintain space teacher country.,,5,2026-05-14 00:31:19
20,20,2026-05-02,0 days 14:00:00,Courtroom-E-10,Initial,Cancelled,Tell indeed age suffer professional operation hand huge. Box enjoy recently worker.,,3,2026-05-14 00:31:19
21,21,2026-05-04,0 days 15:01:00,Courtroom-A-10,Evidence,Completed,Move hand bag policy.,,2,2026-05-14 00:31:19
22,22,2026-04-28,0 days 15:49:00,Courtroom-B-4,Final,Completed,National make light. Action have kitchen reduce imagine speech she care.,,4,2026-05-14 00:31:19
23,23,2026-06-04,0 days 10:53:00,Courtroom-F-1,Follow-up,Scheduled,Natural no serious paper thing responsibility wish. Heart news value make.,2026-07-08,4,2026-05-14 00:31:19
24,24,2026-05-26,0 days 13:02:00,Courtroom-E-10,Final,Scheduled,North feeling develop believe drive former. Even structure base thus personal interview respond.,2026-06-20,5,2026-05-14 00:31:19
25,25,2026-03-16,0 days 12:47:00,Courtroom-F-1,Final,Cancelled,Majority method baby majority Mr question. Mother responsibility former difference cover.,,1,2026-05-14 00:31:19
26,26,2026-05-25,0 days 13:36:00,Courtroom-F-10,Verdict,Scheduled,Article too food majority believe cell bring. Election choose probably nature conference result. Require successful have reach class wind. Eight top town trade.,2026-06-15,2,2026-05-14 00:31:19
27,27,2026-06-11,0 days 10:14:00,Courtroom-B-5,Follow-up,Scheduled,Table room seat not meeting improve water. Right despite eat race weight capital imagine. Similar environmental difficult present ok election.,2026-06-15,5,2026-05-14 00:31:19
28,28,2026-05-01,0 days 09:13:00,Courtroom-D-4,Final,Cancelled,Stock media television arrive add easy. Section medical strategy husband contain important chance.,,2,2026-05-14 00:31:19
29,29,2026-06-05,0 days 15:31:00,Courtroom-A-5,Final,Scheduled,Suffer claim student write some sit. But ahead future single member movie matter. Beat year site guess report final lead.,2026-06-17,1,2026-05-14 00:31:19
30,30,2026-05-03,0 days 12:02:00,Courtroom-E-5,Initial,Completed,Field role medical manager its. Onto result should lot believe. Carry student though dog language.,,5,2026-05-14 00:31:19
31,31,2026-05-23,0 days 14:30:00,Courtroom-E-4,Initial,Scheduled,Role ability artist certainly happy throw idea. Pick subject wrong language measure hot. Forget scene even also newspaper quickly Mrs.,2026-06-20,2,2026-05-14 00:31:19
32,32,2026-05-31,0 days 09:46:00,Courtroom-E-7,Follow-up,Scheduled,Mother establish mention. You stop practice treat consider.,2026-06-29,3,2026-05-14 00:31:19
33,33,2026-04-07,0 days 12:08:00,Courtroom-F-8,Evidence,Cancelled,Early including whose also among physical. Every act show let firm care. Oil role law hear recognize those. Both night difficult lawyer church white skin response.,,2,2026-05-14 00:31:19
34,34,2026-01-14,0 days 09:07:00,Courtroom-A-7,Verdict,Completed,Low clear note write third wish have positive. Call ten ready manage bag. Tax bag bring happy realize kid series.,,2,2026-05-14 00:31:19
35,35,2026-06-04,0 days 13:18:00,Courtroom-E-5,Evidence,Scheduled,Report son summer. Get reason within future effect focus. Particular camera artist of event under.,2026-07-03,3,2026-05-14 00:31:19
36,36,2026-04-18,0 days 10:10:00,Courtroom-C-5,Follow-up,Cancelled,Right popular issue certainly order drive. Each perhaps activity region camera goal skin modern. Hope inside oil maintain of.,,4,2026-05-14 00:31:19
37,37,2026-05-19,0 days 09:05:00,Courtroom-C-10,Final,Scheduled,Bed service listen half billion remember window. Through degree bag image recognize house play chance. Country game choose case south give bed prevent.,2026-07-01,5,2026-05-14 00:31:19
38,38,2025-12-18,0 days 14:05:00,Courtroom-D-10,Verdict,Completed,Way science he low. Paper edge management agreement.,,5,2026-05-14 00:31:19
39,39,2026-05-07,0 days 10:16:00,Courtroom-B-7,Initial,Completed,Town feel him discussion already the boy. Among hope land statement. Not yeah drop possible.,,1,2026-05-14 00:31:19
40,40,2026-04-28,0 days 11:25:00,Courtroom-A-6,Final,Completed,Able available child economy reason. Idea employee purpose field risk ago campaign since.,,1,2026-05-14 00:31:19
41,41,2026-05-06,0 days 12:33:00,Courtroom-C-4,Initial,Completed,Well art road another mind hear magazine. Good clearly they.,,2,2026-05-14 00:31:19
42,42,2026-05-03,0 days 11:27:00,Courtroom-C-3,Initial,Completed,Main art course player mention house. Couple see contain central investment. Year half husband gas run push.,,4,2026-05-14 00:31:19
43,43,2026-01-03,0 days 12:10:00,Courtroom-D-10,Verdict,Completed,Company these hear contain. Fast property go organization generation. Product play but future result.,,3,2026-05-14 00:31:19
44,44,2026-02-12,0 days 09:47:00,Courtroom-C-8,Verdict,Completed,Service source draw several. Lay probably laugh including. Soon national learn indicate.,,3,2026-05-14 00:31:19
45,45,2026-05-16,0 days 11:42:00,Courtroom-A-1,Evidence,Scheduled,Fill but we oil actually itself. Fall quickly option likely identify then. Such trouble about recognize management garden.,2026-07-01,4,2026-05-14 00:31:19
46,46,2026-05-02,0 days 12:36:00,Courtroom-B-2,Follow-up,Completed,Real off measure lose nature just condition modern.,,4,2026-05-14 00:31:19
47,47,2026-04-20,0 days 15:16:00,Courtroom-C-9,Evidence,Cancelled,Pretty theory task view decision future. Without show us character movement officer her. The election true understand performance price imagine.,,5,2026-05-14 00:31:19
48,48,2026-04-20,0 days 14:07:00,Courtroom-D-10,Follow-up,Completed,Know blue condition however. Middle popular great hand east. Rather Republican time store do face purpose.,,1,2026-05-14 00:31:19
49,49,2026-02-03,0 days 09:07:00,Courtroom-A-6,Verdict,Completed,Mother race environmental cell exist research fish. Box many during trade middle stuff no.,,5,2026-05-14 00:31:19
50,50,2026-05-07,0 days 12:17:00,Courtroom-D-1,Initial,Completed,Style traditional source should. Heavy bad guy job discussion.,,5,2026-05-14 00:31:19
51,51,2026-05-31,0 days 13:41:00,Courtroom-B-9,Evidence,Scheduled,Common since executive director go. Industry space together prove crime maybe view. Company free culture listen sense chance all with.,2026-06-29,3,2026-05-14 00:31:19
52,52,2026-05-10,0 days 15:35:00,Courtroom-C-1,Verdict,Completed,Consumer candidate oil same involve win. Artist yes ability party. Factor daughter enter want. Minute forget new actually.,,5,2026-05-14 00:31:19
53,53,2026-03-05,0 days 13:25:00,Courtroom-F-6,Verdict,Cancelled,Make student list hit speech authority. Ask environment book.,,5,2026-05-14 00:31:19
54,54,2026-05-30,0 days 13:17:00,Courtroom-D-7,Follow-up,Scheduled,Bill star become you general suddenly. Face everybody although seat police purpose. Difficult consumer scene example water.,2026-06-15,5,2026-05-14 00:31:19
55,55,2026-04-22,0 days 11:56:00,Courtroom-B-1,Final,Completed,Win common success capital store center position. Skin eat individual law just.,,1,2026-05-14 00:31:19
56,56,2026-05-17,0 days 12:38:00,Courtroom-B-3,Follow-up,Scheduled,Congress fear country major phone. Rock behind before.,2026-07-11,5,2026-05-14 00:31:19
57,57,2026-05-31,0 days 15:53:00,Courtroom-A-7,Verdict,Scheduled,Their need fact thought. Trade peace decide financial.,2026-06-28,4,2026-05-14 00:31:19
58,58,2026-05-02,0 days 13:36:00,Courtroom-B-3,Verdict,Cancelled,Feel nearly behind itself finally. Positive just onto approach partner admit officer play.,,3,2026-05-14 00:31:19
59,59,2026-05-03,0 days 12:12:00,Courtroom-A-4,Verdict,Completed,Be inside produce fall. Data wall boy reflect bill individual. Success law cell where market save arrive.,,4,2026-05-14 00:31:19
60,60,2026-05-20,0 days 12:37:00,Courtroom-C-2,Follow-up,Scheduled,Yourself film degree half perform able. Officer half political film partner.,2026-07-05,5,2026-05-14 00:31:19
61,61,2026-06-03,0 days 15:02:00,Courtroom-D-4,Final,Scheduled,Meet respond garden dream business. Night politics see evening rise parent body.,2026-06-27,2,2026-05-14 00:31:19
62,62,2026-06-12,0 days 10:52:00,Courtroom-E-5,Initial,Scheduled,Along house news before may. Spring development however color wish suggest suddenly. Guy national another debate party.,2026-07-04,5,2026-05-14 00:31:19
63,63,2026-04-25,0 days 09:49:00,Courtroom-C-10,Verdict,Completed,Degree leg could structure. Citizen development name.,,5,2026-05-14 00:31:19
64,64,2026-03-12,0 days 14:56:00,Courtroom-C-5,Verdict,Completed,Rock health artist. Race at safe father many. Accept food become behind foreign attack.,,4,2026-05-14 00:31:19
65,65,2026-06-07,0 days 15:01:00,Courtroom-C-8,Initial,Scheduled,Sort oil Congress fund role require. Accept development member test million positive. Mouth network Mrs eat commercial officer.,2026-06-14,5,2026-05-14 00:31:19
66,66,2026-04-25,0 days 10:19:00,Courtroom-D-5,Final,Completed,Because against bad nearly week. Information again strong Mr Democrat alone step.,,4,2026-05-14 00:31:19
67,67,2026-02-09,0 days 12:34:00,Courtroom-E-9,Verdict,Completed,To anything hand fish or Republican fall way. Glass low response source possible air position affect. Easy this war whatever tax.,,1,2026-05-14 00:31:19
68,68,2026-05-08,0 days 14:05:00,Courtroom-C-3,Follow-up,Completed,Benefit all city machine. House evening usually follow bar court add.,,2,2026-05-14 00:31:19
69,69,2026-05-23,0 days 12:14:00,Courtroom-B-9,Evidence,Scheduled,Sit join so thank claim. Enter officer visit culture.,2026-06-25,3,2026-05-14 00:31:19
70,70,2026-02-15,0 days 09:32:00,Courtroom-D-7,Evidence,Cancelled,Miss set provide Mr heavy fall technology. Peace near president month.,,5,2026-05-14 00:31:19
71,71,2026-05-14,0 days 09:12:00,Courtroom-A-8,Initial,Scheduled,Event represent though road eight there. Enough husband between maybe science music fear. Page relationship drop sport score.,2026-06-27,3,2026-05-14 00:31:19
72,72,2026-05-21,0 days 15:51:00,Courtroom-A-3,Final,Scheduled,Page skin wait parent bad investment senior Republican. Husband beautiful my arm theory nothing. Particular understand owner key between what. Perhaps field worry card whatever.,2026-06-30,4,2026-05-14 00:31:19
73,73,2026-05-24,0 days 10:48:00,Courtroom-C-2,Final,Scheduled,Method economic however carry record.,2026-06-18,3,2026-05-14 00:31:19
74,74,2026-01-03,0 days 09:48:00,Courtroom-A-6,Verdict,Completed,Study wish professor more identify. Lay and easy identify record.,,5,2026-05-14 00:31:19
75,75,2026-04-18,0 days 15:16:00,Courtroom-B-5,Initial,Completed,Scene step alone. Agree none need. Another fact effort official region. Here play student.,,1,2026-05-14 00:31:19
76,76,2026-04-24,0 days 09:01:00,Courtroom-A-10,Follow-up,Cancelled,Good dark dog figure their future less. So employee talk task fly before thousand political. Low try fish science happen pretty.,,1,2026-05-14 00:31:19
77,77,2026-06-09,0 days 10:39:00,Courtroom-F-6,Final,Scheduled,Capital worker especially machine service couple. Expect hair culture around laugh. Card eat mouth training open too employee. Point eight window drop produce manage.,2026-06-27,2,2026-05-14 00:31:19
78,78,2026-03-21,0 days 11:54:00,Courtroom-E-5,Verdict,Completed,Structure firm hour fear raise that way. Give defense at artist clear Democrat. Notice memory team agency.,,2,2026-05-14 00:31:19
79,79,2026-04-29,0 days 09:51:00,Courtroom-F-8,Initial,Completed,Within teach stay artist pick seven follow. Probably huge anyone practice study increase miss. Imagine physical want music must lay friend.,,1,2026-05-14 00:31:19
80,80,2026-05-08,0 days 15:23:00,Courtroom-A-6,Verdict,Completed,Meeting majority design. Letter value million set. Ability better exactly make brother head director.,,1,2026-05-14 00:31:19
81,81,2026-02-09,0 days 15:44:00,Courtroom-F-10,Verdict,Completed,Word sense firm both sure. Guy executive myself drug listen organization. So event success nation whatever although.,,2,2026-05-14 00:31:19
82,82,2026-05-12,0 days 09:21:00,Courtroom-C-4,Follow-up,Completed,Bank often little type maybe speak. Life somebody scene trouble central. Develop listen family among down kid. Kid lay return spend wrong financial agency.,,5,2026-05-14 00:31:19
83,83,2026-05-14,0 days 14:06:00,Courtroom-A-7,Final,Scheduled,It form consumer politics market quite move send. Military song report hope begin however technology. Section physical especially realize natural.,2026-07-10,2,2026-05-14 00:31:19
84,84,2026-06-11,0 days 09:20:00,Courtroom-A-3,Verdict,Scheduled,Include truth million that. Hold heart use. Certain measure strategy town even series.,2026-07-11,1,2026-05-14 00:31:19
85,85,2026-05-22,0 days 13:48:00,Courtroom-F-9,Follow-up,Scheduled,Growth leader these already real. Hotel discuss benefit above.,2026-06-24,5,2026-05-14 00:31:19
86,86,2026-04-15,0 days 12:27:00,Courtroom-F-4,Initial,Cancelled,Cause example remain gas character care. Employee manage receive Mrs recent way.,,3,2026-05-14 00:31:19
87,87,2026-05-26,0 days 10:55:00,Courtroom-F-6,Initial,Scheduled,Explain crime especially section more. Although staff American other water of million attorney. Deep perform pressure serious safe ball production.,2026-06-19,5,2026-05-14 00:31:19
88,88,2026-05-30,0 days 14:09:00,Courtroom-F-4,Initial,Scheduled,Consumer parent important mission thus. Account fall similar culture off loss article buy.,2026-07-06,3,2026-05-14 00:31:19
89,89,2026-04-03,0 days 14:04:00,Courtroom-A-1,Final,Cancelled,Cup start American exactly. Positive herself short office.,,5,2026-05-14 00:31:19
90,90,2026-05-10,0 days 09:23:00,Courtroom-E-2,Verdict,Completed,Huge image four have available. Religious itself score tonight day candidate especially.,,4,2026-05-14 00:31:19
91,91,2026-01-24,0 days 11:09:00,Courtroom-F-1,Verdict,Completed,Continue fish add bar those. Magazine may fight. Year without have nature nice two.,,4,2026-05-14 00:31:19
92,92,2026-03-07,0 days 11:29:00,Courtroom-C-3,Evidence,Cancelled,Soon character store reason crime stuff. Doctor discover small station sort read laugh. Number really friend source hand. Fly evidence stand task accept off budget.,,3,2026-05-14 00:31:19
93,93,2026-05-19,0 days 13:41:00,Courtroom-C-7,Evidence,Scheduled,Play goal relate call response staff job leg. Price back cost statement in everybody work. Citizen person full institution stock.,2026-07-10,2,2026-05-14 00:31:19
94,94,2025-11-17,0 days 11:00:00,Courtroom-A-4,Verdict,Completed,Professor statement way. Which poor however many religious. Which owner fact seat play cell region.,,1,2026-05-14 00:31:19
95,95,2025-11-21,0 days 14:40:00,Courtroom-E-7,Verdict,Completed,Yeah world eye table big drug. Market history right statement read maintain about take. Free long serve quite.,,3,2026-05-14 00:31:19
96,96,2026-03-20,0 days 11:21:00,Courtroom-D-1,Verdict,Cancelled,National teach defense star team apply finish challenge. Imagine later dark agree teach night. Treat approach operation story hot house more.,,4,2026-05-14 00:31:19
97,97,2026-05-07,0 days 13:32:00,Courtroom-B-7,Initial,Completed,Subject hand ago table out any. Recently issue eight name.,,2,2026-05-14 00:31:19
98,98,2026-01-28,0 days 13:24:00,Courtroom-F-3,Verdict,Completed,With wrong keep nice probably figure single ability. Race when movie have return thought about.,,2,2026-05-14 00:31:19
99,99,2026-05-29,0 days 10:02:00,Courtroom-B-7,Final,Scheduled,Several budget professor bank owner more above. Specific imagine strategy her computer race maintain. Shoulder still house up.,2026-06-30,5,2026-05-14 00:31:19
100,100,2026-06-04,0 days 09:40:00,Courtroom-A-3,Final,Scheduled,Until argue system home. Answer same for. Kid animal defense player.,2026-06-21,4,2026-05-14 00:31:19
